model,zhoblimp,hanzi_struc,hanzi_pinyin,word_fmri,fmri,afqmc,ocnli,tnews,cluewsc20,mean
Qwen3-0.6B,77.62,59.85,49.8,55.0,10.4,71.57,75.08,58.1,71.71,58.79
Zh-Pythia-14M-v0.1-checkpoint-3000,57.1,52.0,11.5,55.7,7.8,69.05,57.66,51.62,63.49,47.32
Zh-Pythia-70M-v0.1-checkpoint-3000,65.88,52.35,15.7,56.0,8.7,69.0,60.47,52.53,63.49,49.35
Zh-Pythia-160M-v0.1-checkpoint-3000,70.98,52.4,18.5,56.0,8.9,68.98,60.58,52.91,63.49,50.3
Zh-Pythia-410M-v0.1-checkpoint-3000,71.65,51.2,16.7,56.1,9.0,69.0,61.15,52.83,63.49,50.12
Zh-Pythia-1.4B-v0.1-checkpoint-3000,75.67,53.8,17.1,56.1,9.0,69.0,61.97,53.84,63.82,51.14
xlm-roberta-base,84.0,57.9,37.9,55.6,10.6,73.03,73.93,56.05,63.49,56.94
bert-base-chinese,83.26,57.25,47.0,56.0,10.5,72.75,74.34,57.54,72.37,59.0
chinese-bert-wwm-ext,84.86,58.05,29.6,55.8,10.4,73.15,75.36,58.32,74.34,57.76
roc-bert-base-zh,53.89,56.8,35.5,55.6,9.9,69.0,37.39,57.57,63.49,48.79
ChineseBERT-base,51.69,56.25,46.8,55.6,4.7,69.0,37.39,27.78,63.49,45.86
babylm-chinese-t5-14M-epoch3,57.4,51.7,28.0,55.5,8.1,69.0,42.0,37.3,63.8,45.87
babylm-chinese-bert-14M-epoch3,59.19,54.35,35.7,55.9,9.0,69.0,52.92,52.18,62.83,50.12
babylm-chinese-mamba-14M-epoch3,77.48,53.2,40.4,52.68,9.13,68.9,58.0,53.2,62.5,52.83
babylm-chinese-pythia-14M-epoch3,73.29,52.05,30.1,53.7,8.3,69.14,56.31,52.65,61.84,50.82
babylm-chinese-pythia-14M-epoch10,73.49,54.35,26.6,48.97,7.96,68.95,59.66,53.54,64.47,50.89
babylm-chinese-bert-14m-epoch10,74.8,53.3,39.9,55.82,9.27,69.0,60.07,54.65,64.47,53.48
babylm-chinese-mamba-14m-epoch10,75.88,53.45,21.2,47.83,9.73,69.05,61.19,53.84,63.16,50.59
babylm-chinese-t5-14m-epoch10,61.11,50.5,28.1,54.28,8.39,69.02,45.19,47.94,62.83,47.48
babylm-chinese-pythia-14m-epoch20,73.95,52.25,28.9,47.03,8.02,69.0,59.73,52.97,62.83,50.52
babylm-chinese-bert-14m-epoch20,75.82,54.45,40.1,55.89,9.46,69.0,61.66,54.96,63.82,53.91
babylm-chinese-mamba-14m-epoch20,74.23,52.55,26.8,45.64,9.07,69.0,61.25,54.11,63.82,50.72
babylm-chinese-t5-14m-epoch20,63.58,52.7,39.2,53.3,7.99,69.0,47.63,50.95,65.46,49.98
Ours: NanoChat d22 step10000,67.45,51.85,41.6,55.54,8.02,68.61,55.59,51.31,59.54,51.06
