step,loss,lrm,tok_per_sec
0,10.396509,0.03,10609
1,10.396041,0.05,30330
2,10.391873,0.07,30446
3,10.387933,0.1,30446
4,10.38544,0.12,30454
5,10.373161,0.15,30409
6,10.358378,0.17,30391
7,10.338004,0.2,30366
8,10.306366,0.23,30389
9,10.294735,0.25,30393
10,10.249412,0.28,30373
11,10.211289,0.3,27798
12,10.178764,0.33,30399
13,10.101886,0.35,30391
14,10.025782,0.38,30394
15,9.858012,0.4,30410
16,9.682853,0.42,30380
17,9.496426,0.45,30372
18,9.342639,0.47,30367
19,9.375998,0.5,30349
20,9.383844,0.53,30136
21,9.245722,0.55,30286
22,9.29223,0.57,30271
23,9.258643,0.6,30284
24,9.26973,0.62,30202
25,9.199391,0.65,30218
26,9.101539,0.68,30281
27,8.957348,0.7,30250
28,8.931799,0.72,29342
29,8.951408,0.75,30259
30,8.872229,0.78,28621
31,8.839631,0.8,30270
32,8.791432,0.82,30273
33,8.727702,0.85,30153
34,8.735957,0.88,30029
35,8.602878,0.9,30245
36,8.479996,0.93,30266
37,8.356075,0.95,30273
38,8.257431,0.97,30219
39,8.157883,1.0,30160
40,8.14416,1.0,30256
41,8.001855,1.0,30205
42,7.817706,1.0,30277
43,7.711023,1.0,30271
44,7.594453,1.0,30213
45,7.530895,1.0,30259
46,7.447265,1.0,30154
47,7.369717,1.0,30121
48,7.293226,1.0,30280
49,7.215204,1.0,30271
50,7.123911,1.0,30265
51,7.061141,1.0,30271
52,7.047415,1.0,30280
53,7.037699,1.0,30121
54,7.140623,1.0,30259
55,7.223469,1.0,29665
56,7.290521,1.0,30254
57,7.331987,1.0,30257
58,7.366464,1.0,30120
59,7.283959,1.0,30265
60,7.200004,1.0,30261
61,7.116294,1.0,30246
62,7.008137,1.0,30249
63,6.888167,1.0,30230
64,6.774149,1.0,29775
65,6.700936,1.0,29740
66,6.796083,1.0,30191
67,6.883959,1.0,30187
68,6.982385,1.0,30170
69,7.024689,1.0,30143
70,7.09286,1.0,30148
71,7.006016,1.0,30145
72,6.933139,1.0,28132
73,6.924046,1.0,30140
74,6.786968,1.0,30133
75,6.752006,1.0,30124
76,6.853949,1.0,28642
77,6.935183,1.0,29643
78,6.87037,1.0,30147
79,6.951149,1.0,29721
80,7.010037,1.0,30121
81,7.01436,1.0,30113
82,6.932858,1.0,30150
83,6.821824,1.0,30141
84,6.721374,1.0,30152
85,6.645194,1.0,30141
86,6.593023,1.0,29500
87,6.566303,1.0,30080
88,6.509084,1.0,30091
89,6.41767,1.0,30139
90,6.524088,1.0,30135
91,6.536891,1.0,30132
92,6.643318,1.0,30141
93,6.735731,1.0,30113
94,6.709759,1.0,30143
95,6.770915,1.0,30132
96,6.722087,1.0,30159
97,6.737163,1.0,30151
98,6.831785,1.0,30143
99,6.784098,1.0,27522
100,6.640452,1.0,30155
101,6.571917,1.0,30149
102,6.664626,1.0,30149
103,6.754075,1.0,30109
104,6.810724,1.0,30134
105,6.773337,1.0,30139
106,6.737181,1.0,30093
107,6.64379,1.0,30139
108,6.554801,1.0,30154
109,6.389911,1.0,24504
110,6.306453,1.0,30160
111,6.240148,1.0,30161
112,6.22451,1.0,30143
113,6.277497,1.0,30153
114,6.269691,1.0,30152
115,6.341199,1.0,30127
116,6.261564,1.0,29886
117,6.230117,1.0,29628
118,6.194958,1.0,30142
119,6.129019,1.0,30154
120,6.138668,1.0,30151
121,6.132926,1.0,28404
122,6.132099,1.0,26937
123,6.175775,1.0,30164
124,6.084265,1.0,29958
125,6.132987,1.0,30145
126,6.123542,1.0,30127
127,6.060274,1.0,30146
128,5.99056,1.0,30150
129,5.97675,1.0,30156
130,6.047951,1.0,29718
131,6.184561,1.0,30149
132,6.309393,1.0,30148
133,6.256001,1.0,30145
134,6.144697,1.0,30155
135,6.05302,1.0,30164
136,6.006491,1.0,30140
137,6.015188,1.0,30144
138,6.065795,1.0,29921
139,6.201239,1.0,30142
140,6.281785,1.0,30140
141,6.386515,1.0,30137
142,6.484714,1.0,30141
143,6.362393,1.0,30141
144,6.296449,1.0,30151
145,6.319414,1.0,30156
146,6.30528,1.0,30162
147,6.366945,1.0,30163
148,6.449548,1.0,30148
149,6.42764,1.0,30142
150,6.312866,1.0,30153
151,6.294179,1.0,30151
152,6.10683,1.0,30146
153,6.22007,1.0,30156
154,6.290376,1.0,30150
155,6.368257,1.0,30149
156,6.343497,1.0,29743
157,6.239559,1.0,30139
158,6.172264,1.0,30149
159,6.139256,1.0,30157
160,6.008243,1.0,30145
161,5.925402,1.0,30139
162,5.820368,1.0,30156
163,5.934329,1.0,30147
164,5.942745,1.0,30132
165,6.003065,1.0,30153
166,6.045723,1.0,30134
167,6.146685,1.0,30155
168,6.265031,1.0,28651
169,6.115522,1.0,30146
170,6.027303,1.0,30159
171,6.132669,1.0,30159
172,6.032633,1.0,30145
173,5.955683,1.0,30155
174,5.867481,1.0,30144
175,5.78432,1.0,28741
176,5.730581,1.0,26688
177,5.704597,1.0,30143
178,5.649594,1.0,30140
179,5.724111,1.0,30131
180,5.788078,1.0,30042
181,5.756332,1.0,30146
182,5.886736,1.0,30158
183,5.99127,1.0,30155
184,5.89695,1.0,30149
185,5.848366,1.0,30135
186,5.944915,1.0,30140
187,5.913508,1.0,30127
188,6.029133,1.0,30127
189,6.120903,1.0,30109
190,6.198569,1.0,29689
191,6.214224,1.0,29636
192,6.08897,1.0,30129
193,5.910574,1.0,30135
194,5.786443,1.0,30155
195,5.673015,1.0,30074
196,5.570645,1.0,29980
197,5.553702,1.0,30124
198,5.591962,1.0,30127
199,5.539353,1.0,30140
200,5.54381,1.0,30142
201,5.519813,1.0,30138
202,5.533957,1.0,30085
203,5.652404,1.0,30142
204,5.786017,1.0,30144
205,5.848841,1.0,29297
206,5.700048,1.0,30163
207,5.562091,1.0,30147
208,5.725226,1.0,29446
209,5.82448,1.0,30140
210,5.927759,1.0,30147
211,6.0259,1.0,30139
212,5.883515,1.0,30048
213,5.736211,1.0,28699
214,5.685931,1.0,30159
215,5.606652,1.0,30152
216,5.599592,1.0,30143
217,5.517247,1.0,30136
218,5.516803,1.0,30159
219,5.569655,1.0,30146
220,5.707471,1.0,30135
221,5.736361,1.0,30143
222,5.86405,1.0,30138
223,5.933942,1.0,30135
224,5.99512,1.0,30142
225,6.06383,1.0,30121
226,6.101472,1.0,30134
227,6.170648,1.0,30133
228,6.050964,1.0,30049
229,5.874008,1.0,30132
230,5.863649,1.0,29623
231,5.754371,1.0,30145
232,5.67876,1.0,30147
233,5.59657,1.0,30136
234,5.715523,1.0,30136
235,5.81486,1.0,29667
236,5.67343,1.0,29238
237,5.662456,1.0,30133
238,5.566383,1.0,30147
239,5.587074,1.0,30154
240,5.708888,1.0,30135
241,5.592178,1.0,26991
242,5.604337,1.0,30162
243,5.721798,1.0,30140
244,5.68371,1.0,30142
245,5.710179,1.0,30073
246,5.552174,1.0,30138
247,5.484941,1.0,30135
248,5.437374,1.0,30146
249,5.503795,1.0,29933
250,5.431959,1.0,30078
251,5.391918,1.0,30146
252,5.299063,1.0,30009
253,5.290036,1.0,30132
254,5.368103,1.0,30162
255,5.329844,1.0,30133
256,5.213148,1.0,30121
257,5.252598,1.0,30137
258,5.35802,1.0,30133
259,5.278801,1.0,28554
260,5.413935,1.0,30120
261,5.386897,1.0,30137
262,5.499769,1.0,30135
263,5.491742,1.0,30143
264,5.358911,1.0,30145
265,5.277221,1.0,30117
266,5.26469,1.0,30160
267,5.246295,1.0,30138
268,5.196321,1.0,29660
269,5.177623,1.0,29964
270,5.152132,1.0,30133
271,5.100898,1.0,30128
272,5.132326,1.0,30010
273,5.16151,1.0,30147
274,5.304966,1.0,30069
275,5.293959,1.0,30139
276,5.1875,1.0,30030
277,5.330252,1.0,30134
